,loss,mae,mse,val_loss,val_mae,val_mse,epoch
251,315103776.0,10642.8974609375,315103776.0,2771733248.0,36625.8515625,2771733248.0,251
252,310023360.0,10551.0869140625,310023360.0,2564699392.0,35456.70703125,2564699392.0,252
253,304911552.0,10524.2548828125,304911552.0,2635718400.0,35894.58984375,2635718400.0,253
254,300511040.0,10442.2822265625,300511040.0,2785460224.0,36776.01171875,2785460224.0,254
255,296266496.0,10342.8466796875,296266496.0,2635147008.0,35724.06640625,2635147008.0,255
256,292087648.0,10325.9287109375,292087648.0,2714598656.0,36112.25390625,2714598656.0,256
257,288000640.0,10251.4072265625,288000640.0,2840030464.0,36791.80859375,2840030464.0,257
258,284025056.0,10167.2626953125,284025056.0,2717587712.0,35806.7109375,2717587712.0,258
259,280114656.0,10155.3369140625,280114656.0,2801528064.0,36220.40234375,2801528064.0,259
260,276286464.0,10087.439453125,276286464.0,2888834560.0,36660.91015625,2888834560.0,260
261,272569696.0,10020.1181640625,272569696.0,2785536768.0,35758.85546875,2785536768.0,261
262,268940256.0,10010.0439453125,268940256.0,2877534976.0,36245.34765625,2877534976.0,262
263,265400976.0,9942.5810546875,265400976.0,2930049536.0,36437.21484375,2930049536.0,263
264,261974896.0,9887.1494140625,261974896.0,2856071680.0,35672.10546875,2856071680.0,264
265,258649344.0,9877.5595703125,258649344.0,2965047552.0,36249.8515625,2965047552.0,265
266,255959120.0,9820.818359375,255959120.0,3079495936.0,36783.375,3079495936.0,266
267,252753616.0,9748.9658203125,252753616.0,2960148480.0,35415.76953125,2960148480.0,267
268,249538224.0,9760.80078125,249538224.0,3113519872.0,36163.61328125,3113519872.0,268
269,246708288.0,9684.3505859375,246708288.0,3224754688.0,36551.51953125,3224754688.0,269
270,243984896.0,9623.7353515625,243984896.0,3156130048.0,35421.1640625,3156130048.0,270
271,241319600.0,9632.046875,241319600.0,3338905344.0,36428.6640625,3338905344.0,271
272,238672896.0,9543.41015625,238672896.0,3375603712.0,36192.578125,3375603712.0,272
273,236096336.0,9516.171875,236096336.0,3363831040.0,35513.6484375,3363831040.0,273
274,233593024.0,9523.4091796875,233593024.0,3531966976.0,36495.0078125,3531966976.0,274
275,231129152.0,9442.0986328125,231129152.0,3509645824.0,35759.82421875,3509645824.0,275
276,228701136.0,9454.546875,228701136.0,3556667904.0,35672.5703125,3556667904.0,276
277,226345392.0,9432.8720703125,226345392.0,3676144384.0,36300.20703125,3676144384.0,277
278,224058960.0,9373.2001953125,224058960.0,3636859392.0,35384.4921875,3636859392.0,278
279,221806544.0,9397.0166015625,221806544.0,3735558144.0,35838.14453125,3735558144.0,279
280,219607920.0,9346.9775390625,219607920.0,3793351424.0,35865.79296875,3793351424.0,280
281,217831472.0,9330.9931640625,217831472.0,3847323392.0,35711.3515625,3847323392.0,281
282,215735984.0,9308.9501953125,215735984.0,3919669760.0,35602.7890625,3919669760.0,282
283,213619824.0,9278.15625,213619824.0,3984721664.0,35419.42578125,3984721664.0,283
284,211788864.0,9259.8486328125,211788864.0,4083820288.0,35646.26171875,4083820288.0,284
285,209994048.0,9219.76953125,209994048.0,4132857088.0,35340.3359375,4132857088.0,285
286,208227584.0,9209.2216796875,208227584.0,4208427520.0,35392.796875,4208427520.0,286
287,206493968.0,9179.8779296875,206493968.0,4274917888.0,35391.83203125,4274917888.0,287
288,204781680.0,9153.0439453125,204781680.0,4315018752.0,35678.50390625,4315018752.0,288
